Capa,Ander,Athletic Club
RB,RM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,18
NON_PEN_XG,0.01,5
TOTAL_SHOTS,0.34,21
ASSISTS,0.00,8
XA,0.06,33
NON_PEN_XG+XA,0.07,17
SHOT_CREATIONS,0.94,8
PASSES_ATTEMPTED,47.49,27
PASS_COMPLETION_PERCENTAGE,78.3,58
PROGRESSIVE_PASSES,3.95,64
PROGRESSIVE CARRIES,6.18,81
DRIBBLES_COMPLETED,1.46,85
TOUCHES_IN_AREA,1.29,49
PROGRESSIVE_PASSES_RECIEVED,1.03,12
PRESSURES,14.17,70
TACKLES,1.63,23
INTERCEPTIONS,1.63,53
BLOCKS,2.23,78
CLEARANCES,2.75,70
AERIAL_DUELS_WON,0.94,34
