Sancet,Oihan,Athletic Club
MF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.06,2
NON_PEN_XG,0.22,13
TOTAL_SHOTS,1.73,11
ASSISTS,0.19,73
XA,0.15,67
NON_PEN_XG+XA,0.38,26
SHOT_CREATIONS,3.08,80
PASSES_ATTEMPTED,29.55,80
PASS_COMPLETION_PERCENTAGE,74.7,64
PROGRESSIVE_PASSES,2.59,86
PROGRESSIVE CARRIES,4.87,84
DRIBBLES_COMPLETED,1.36,70
TOUCHES_IN_AREA,4.19,16
PROGRESSIVE_PASSES_RECIEVED,10.92,96
PRESSURES,20.05,91
TACKLES,1.30,91
INTERCEPTIONS,0.31,32
BLOCKS,0.74,50
CLEARANCES,0.74,61
AERIAL_DUELS_WON,1.17,30
