Berenguer,Álex,Athletic Club
FW,WM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.21,51
NON_PEN_XG,0.23,63
TOTAL_SHOTS,1.82,40
ASSISTS,0.14,33
XA,0.15,39
NON_PEN_XG+XA,0.38,50
SHOT_CREATIONS,2.85,34
PASSES_ATTEMPTED,36.04,39
PASS_COMPLETION_PERCENTAGE,65.4,7
PROGRESSIVE_PASSES,3.03,39
PROGRESSIVE CARRIES,4.52,16
DRIBBLES_COMPLETED,1.53,46
TOUCHES_IN_AREA,3.45,36
PROGRESSIVE_PASSES_RECIEVED,6.23,49
PRESSURES,26.75,99
TACKLES,2.03,88
INTERCEPTIONS,1.10,70
BLOCKS,2.60,99
CLEARANCES,1.18,92
AERIAL_DUELS_WON,1.35,84
