Martínez,Iñigo,Athletic Club
LCB,CB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.10,85
NON_PEN_XG,0.07,85
TOTAL_SHOTS,0.84,90
ASSISTS,0.00,28
XA,0.01,51
NON_PEN_XG+XA,0.09,79
SHOT_CREATIONS,0.50,45
PASSES_ATTEMPTED,51.97,48
PASS_COMPLETION_PERCENTAGE,83.4,26
PROGRESSIVE_PASSES,3.34,75
PROGRESSIVE CARRIES,3.88,79
DRIBBLES_COMPLETED,0.17,37
TOUCHES_IN_AREA,0.84,55
PROGRESSIVE_PASSES_RECIEVED,0.07,23
PRESSURES,7.19,26
TACKLES,1.20,26
INTERCEPTIONS,1.97,69
BLOCKS,1.24,10
CLEARANCES,5.59,70
AERIAL_DUELS_WON,2.84,62
