Joelinton,,Newcastle Utd
FW,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.11,3
NON_PEN_XG,0.21,10
TOTAL_SHOTS,1.87,17
ASSISTS,0.04,14
XA,0.07,17
NON_PEN_XG+XA,0.28,4
SHOT_CREATIONS,2.47,64
PASSES_ATTEMPTED,28.36,74
PASS_COMPLETION_PERCENTAGE,74.2,60
PROGRESSIVE_PASSES,1.71,61
PROGRESSIVE CARRIES,3.58,71
DRIBBLES_COMPLETED,1.48,78
TOUCHES_IN_AREA,3.85,11
PROGRESSIVE_PASSES_RECIEVED,4.42,3
PRESSURES,20.14,91
TACKLES,2.09,99
INTERCEPTIONS,1.29,99
BLOCKS,1.87,98
CLEARANCES,1.26,92
AERIAL_DUELS_WON,4.72,93
