Murphy,Jacob,Newcastle Utd
DF,FW,MF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.10,84
NON_PEN_XG,0.09,90
TOTAL_SHOTS,1.69,97
ASSISTS,0.15,79
XA,0.14,83
NON_PEN_XG+XA,0.23,88
SHOT_CREATIONS,2.18,78
PASSES_ATTEMPTED,37.47,5
PASS_COMPLETION_PERCENTAGE,68.4,5
PROGRESSIVE_PASSES,2.73,17
PROGRESSIVE CARRIES,5.85,76
DRIBBLES_COMPLETED,1.78,93
TOUCHES_IN_AREA,2.23,81
PROGRESSIVE_PASSES_RECIEVED,2.08,51
PRESSURES,20.22,98
TACKLES,2.97,87
INTERCEPTIONS,1.64,54
BLOCKS,1.98,60
CLEARANCES,1.49,13
AERIAL_DUELS_WON,0.40,5
