Manquillo,Javier,Newcastle Utd
RB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.07,76
NON_PEN_XG,0.03,48
TOTAL_SHOTS,0.27,18
ASSISTS,0.14,76
XA,0.03,7
NON_PEN_XG+XA,0.06,14
SHOT_CREATIONS,0.62,1
PASSES_ATTEMPTED,33.73,1
PASS_COMPLETION_PERCENTAGE,72.9,20
PROGRESSIVE_PASSES,1.72,1
PROGRESSIVE CARRIES,1.51,1
DRIBBLES_COMPLETED,0.55,29
TOUCHES_IN_AREA,0.89,25
PROGRESSIVE_PASSES_RECIEVED,1.24,19
PRESSURES,13.12,56
TACKLES,3.02,88
INTERCEPTIONS,1.58,47
BLOCKS,2.20,76
CLEARANCES,2.34,47
AERIAL_DUELS_WON,1.79,84
