Saint-Maximin,Allan,Newcastle Utd
FW,WM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.18,10
NON_PEN_XG,0.16,3
TOTAL_SHOTS,2.08,29
ASSISTS,0.22,80
XA,0.20,84
NON_PEN_XG+XA,0.35,18
SHOT_CREATIONS,3.90,96
PASSES_ATTEMPTED,25.17,60
PASS_COMPLETION_PERCENTAGE,76.1,72
PROGRESSIVE_PASSES,2.15,74
PROGRESSIVE CARRIES,8.34,98
DRIBBLES_COMPLETED,4.63,99
TOUCHES_IN_AREA,4.48,25
PROGRESSIVE_PASSES_RECIEVED,3.97,1
PRESSURES,9.76,9
TACKLES,0.44,23
INTERCEPTIONS,0.73,89
BLOCKS,0.73,48
CLEARANCES,0.04,2
AERIAL_DUELS_WON,0.58,9
