Almirón,Miguel,Newcastle Utd
AM,CM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.10,15
NON_PEN_XG,0.10,9
TOTAL_SHOTS,1.32,11
ASSISTS,0.00,1
XA,0.08,4
NON_PEN_XG+XA,0.19,3
SHOT_CREATIONS,2.61,23
PASSES_ATTEMPTED,29.42,13
PASS_COMPLETION_PERCENTAGE,79.8,73
PROGRESSIVE_PASSES,2.05,15
PROGRESSIVE CARRIES,4.73,22
DRIBBLES_COMPLETED,1.12,25
TOUCHES_IN_AREA,2.15,9
PROGRESSIVE_PASSES_RECIEVED,3.50,6
PRESSURES,19.77,78
TACKLES,2.02,88
INTERCEPTIONS,1.16,77
BLOCKS,0.99,31
CLEARANCES,0.73,75
AERIAL_DUELS_WON,0.40,22
