Clark,Ciaran,Newcastle Utd
CB,LCB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,16
NON_PEN_XG,0.04,43
TOTAL_SHOTS,0.52,55
ASSISTS,0.04,72
XA,0.01,54
NON_PEN_XG+XA,0.06,41
SHOT_CREATIONS,0.30,12
PASSES_ATTEMPTED,34.34,5
PASS_COMPLETION_PERCENTAGE,81.5,15
PROGRESSIVE_PASSES,1.37,8
PROGRESSIVE CARRIES,1.15,12
DRIBBLES_COMPLETED,0.19,44
TOUCHES_IN_AREA,1.37,91
PROGRESSIVE_PASSES_RECIEVED,0.33,84
PRESSURES,7.14,24
TACKLES,1.44,47
INTERCEPTIONS,1.30,16
BLOCKS,1.92,76
CLEARANCES,5.81,76
AERIAL_DUELS_WON,3.59,85
