Longstaff,Sean,Newcastle Utd
CM,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.06,54
NON_PEN_XG,0.10,80
TOTAL_SHOTS,1.08,63
ASSISTS,0.06,44
XA,0.07,52
NON_PEN_XG+XA,0.17,66
SHOT_CREATIONS,1.65,41
PASSES_ATTEMPTED,38.74,19
PASS_COMPLETION_PERCENTAGE,79.4,23
PROGRESSIVE_PASSES,1.99,4
PROGRESSIVE CARRIES,1.25,1
DRIBBLES_COMPLETED,0.28,5
TOUCHES_IN_AREA,0.91,40
PROGRESSIVE_PASSES_RECIEVED,1.14,26
PRESSURES,27.25,98
TACKLES,3.30,92
INTERCEPTIONS,1.59,50
BLOCKS,1.71,65
CLEARANCES,1.54,51
AERIAL_DUELS_WON,0.97,40
