Krafth,Emil,Newcastle Utd
RB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.06,68
NON_PEN_XG,0.02,14
TOTAL_SHOTS,0.56,63
ASSISTS,0.06,88
XA,0.02,65
NON_PEN_XG+XA,0.04,18
SHOT_CREATIONS,0.68,69
PASSES_ATTEMPTED,35.08,7
PASS_COMPLETION_PERCENTAGE,74.2,2
PROGRESSIVE_PASSES,1.18,4
PROGRESSIVE CARRIES,1.74,27
DRIBBLES_COMPLETED,0.06,11
TOUCHES_IN_AREA,0.50,17
PROGRESSIVE_PASSES_RECIEVED,0.43,89
PRESSURES,11.34,80
TACKLES,1.18,25
INTERCEPTIONS,1.86,63
BLOCKS,2.36,95
CLEARANCES,3.47,9
AERIAL_DUELS_WON,0.81,1
