Lewis,Jamal,Newcastle Utd
LB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,18
NON_PEN_XG,0.02,21
TOTAL_SHOTS,0.16,5
ASSISTS,0.08,53
XA,0.06,37
NON_PEN_XG+XA,0.08,24
SHOT_CREATIONS,1.06,13
PASSES_ATTEMPTED,42.69,11
PASS_COMPLETION_PERCENTAGE,76.2,37
PROGRESSIVE_PASSES,1.30,1
PROGRESSIVE CARRIES,1.87,2
DRIBBLES_COMPLETED,0.57,33
TOUCHES_IN_AREA,0.49,6
PROGRESSIVE_PASSES_RECIEVED,1.38,26
PRESSURES,16.72,87
TACKLES,2.92,86
INTERCEPTIONS,1.38,32
BLOCKS,1.79,43
CLEARANCES,1.54,17
AERIAL_DUELS_WON,0.32,2
