Lascelles,Jamaal,Newcastle Utd
CB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.13,93
NON_PEN_XG,0.06,67
TOTAL_SHOTS,0.93,95
ASSISTS,0.00,28
XA,0.00,15
NON_PEN_XG+XA,0.06,40
SHOT_CREATIONS,0.34,18
PASSES_ATTEMPTED,29.63,2
PASS_COMPLETION_PERCENTAGE,80.1,11
PROGRESSIVE_PASSES,1.10,2
PROGRESSIVE CARRIES,0.76,4
DRIBBLES_COMPLETED,0.04,6
TOUCHES_IN_AREA,1.78,98
PROGRESSIVE_PASSES_RECIEVED,0.21,67
PRESSURES,7.08,22
TACKLES,0.76,4
INTERCEPTIONS,1.31,18
BLOCKS,2.16,88
CLEARANCES,6.27,84
AERIAL_DUELS_WON,3.90,91
