Willock,Joe,Newcastle Utd
MF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.35,99
NON_PEN_XG,0.17,95
TOTAL_SHOTS,1.36,80
ASSISTS,0.00,11
XA,0.07,49
NON_PEN_XG+XA,0.24,86
SHOT_CREATIONS,2.50,78
PASSES_ATTEMPTED,24.53,1
PASS_COMPLETION_PERCENTAGE,77.8,15
PROGRESSIVE_PASSES,2.19,7
PROGRESSIVE CARRIES,3.60,46
DRIBBLES_COMPLETED,1.58,92
TOUCHES_IN_AREA,3.03,95
PROGRESSIVE_PASSES_RECIEVED,2.81,78
PRESSURES,25.41,95
TACKLES,3.07,88
INTERCEPTIONS,2.11,84
BLOCKS,2.37,95
CLEARANCES,1.01,24
AERIAL_DUELS_WON,0.92,38
