de Frutos,Jorge,Levante
MF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.16,32
NON_PEN_XG,0.17,34
TOTAL_SHOTS,1.42,18
ASSISTS,0.39,93
XA,0.21,70
NON_PEN_XG+XA,0.38,48
SHOT_CREATIONS,2.75,28
PASSES_ATTEMPTED,27.97,9
PASS_COMPLETION_PERCENTAGE,67.6,12
PROGRESSIVE_PASSES,2.56,27
PROGRESSIVE CARRIES,4.69,22
DRIBBLES_COMPLETED,1.88,61
TOUCHES_IN_AREA,3.92,51
PROGRESSIVE_PASSES_RECIEVED,6.57,54
PRESSURES,20.30,84
TACKLES,2.33,94
INTERCEPTIONS,1.33,85
BLOCKS,1.36,66
CLEARANCES,0.71,73
AERIAL_DUELS_WON,0.62,46
