Luis García Vayá,José,Levante
CM,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,14
NON_PEN_XG,0.00,1
TOTAL_SHOTS,0.00,1
ASSISTS,0.00,11
XA,0.08,58
NON_PEN_XG+XA,0.08,20
SHOT_CREATIONS,1.14,15
PASSES_ATTEMPTED,47.38,39
PASS_COMPLETION_PERCENTAGE,75.9,8
PROGRESSIVE_PASSES,4.76,71
PROGRESSIVE CARRIES,3.04,30
DRIBBLES_COMPLETED,0.76,48
TOUCHES_IN_AREA,0.19,1
PROGRESSIVE_PASSES_RECIEVED,1.52,43
PRESSURES,21.31,79
TACKLES,2.47,63
INTERCEPTIONS,1.90,74
BLOCKS,1.71,65
CLEARANCES,0.95,21
AERIAL_DUELS_WON,1.90,78
