"b'Vukcevic, Nikola'",Levante
CM,DM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,14
NON_PEN_XG,0.00,1
TOTAL_SHOTS,0.16,1
ASSISTS,0.00,11
XA,0.03,20
NON_PEN_XG+XA,0.03,4
SHOT_CREATIONS,0.82,6
PASSES_ATTEMPTED,36.59,15
PASS_COMPLETION_PERCENTAGE,85.6,64
PROGRESSIVE_PASSES,2.14,5
PROGRESSIVE CARRIES,1.48,4
DRIBBLES_COMPLETED,0.16,1
TOUCHES_IN_AREA,0.16,1
PROGRESSIVE_PASSES_RECIEVED,0.49,6
PRESSURES,13.02,8
TACKLES,1.65,19
INTERCEPTIONS,1.15,21
BLOCKS,1.81,72
CLEARANCES,1.81,72
AERIAL_DUELS_WON,1.81,75
