Malsa,Mickael,Levante
MF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.04,39
NON_PEN_XG,0.08,68
TOTAL_SHOTS,1.02,56
ASSISTS,0.04,33
XA,0.03,18
NON_PEN_XG+XA,0.11,38
SHOT_CREATIONS,1.06,11
PASSES_ATTEMPTED,48.68,45
PASS_COMPLETION_PERCENTAGE,84.4,54
PROGRESSIVE_PASSES,3.98,54
PROGRESSIVE CARRIES,3.45,42
DRIBBLES_COMPLETED,0.77,50
TOUCHES_IN_AREA,0.61,20
PROGRESSIVE_PASSES_RECIEVED,0.98,18
PRESSURES,18.93,56
TACKLES,2.72,76
INTERCEPTIONS,1.91,75
BLOCKS,1.75,67
CLEARANCES,1.71,65
AERIAL_DUELS_WON,1.02,46
