Clerc,Carlos,Levante
LB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,18
NON_PEN_XG,0.01,11
TOTAL_SHOTS,0.18,5
ASSISTS,0.06,39
XA,0.05,23
NON_PEN_XG+XA,0.06,14
SHOT_CREATIONS,1.09,15
PASSES_ATTEMPTED,52.80,54
PASS_COMPLETION_PERCENTAGE,76.6,41
PROGRESSIVE_PASSES,5.10,87
PROGRESSIVE CARRIES,5.10,62
DRIBBLES_COMPLETED,1.38,83
TOUCHES_IN_AREA,0.79,19
PROGRESSIVE_PASSES_RECIEVED,1.94,43
PRESSURES,13.73,65
TACKLES,1.82,37
INTERCEPTIONS,1.50,41
BLOCKS,1.70,38
CLEARANCES,3.11,83
AERIAL_DUELS_WON,1.44,67
