Radoja,Nemanja,Levante
CB,CM,DM
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,14
NON_PEN_XG,0.01,5
TOTAL_SHOTS,0.20,2
ASSISTS,0.13,78
XA,0.01,5
NON_PEN_XG+XA,0.02,2
SHOT_CREATIONS,0.33,1
PASSES_ATTEMPTED,47.25,39
PASS_COMPLETION_PERCENTAGE,86.5,71
PROGRESSIVE_PASSES,3.06,26
PROGRESSIVE CARRIES,2.93,28
DRIBBLES_COMPLETED,0.52,25
TOUCHES_IN_AREA,0.52,14
PROGRESSIVE_PASSES_RECIEVED,1.17,28
PRESSURES,13.69,10
TACKLES,1.17,5
INTERCEPTIONS,1.50,42
BLOCKS,1.69,63
CLEARANCES,1.96,77
AERIAL_DUELS_WON,1.96,81
