Miramón,Jorge,Levante
RB,RM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,18
NON_PEN_XG,0.01,7
TOTAL_SHOTS,0.27,18
ASSISTS,0.09,57
XA,0.05,20
NON_PEN_XG+XA,0.06,12
SHOT_CREATIONS,1.60,48
PASSES_ATTEMPTED,51.66,45
PASS_COMPLETION_PERCENTAGE,77.9,55
PROGRESSIVE_PASSES,4.12,68
PROGRESSIVE CARRIES,3.93,33
DRIBBLES_COMPLETED,0.59,35
TOUCHES_IN_AREA,0.64,13
PROGRESSIVE_PASSES_RECIEVED,1.33,23
PRESSURES,11.03,24
TACKLES,1.92,44
INTERCEPTIONS,2.47,95
BLOCKS,2.06,67
CLEARANCES,3.25,85
AERIAL_DUELS_WON,1.05,40
