Mustafi,Shkodran,Levante
RCB,CB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.11,87
NON_PEN_XG,0.03,30
TOTAL_SHOTS,0.75,82
ASSISTS,0.00,28
XA,0.00,4
NON_PEN_XG+XA,0.04,18
SHOT_CREATIONS,0.27,8
PASSES_ATTEMPTED,49.20,38
PASS_COMPLETION_PERCENTAGE,79.2,8
PROGRESSIVE_PASSES,2.94,60
PROGRESSIVE CARRIES,1.71,27
DRIBBLES_COMPLETED,0.11,20
TOUCHES_IN_AREA,1.02,73
PROGRESSIVE_PASSES_RECIEVED,0.11,34
PRESSURES,8.89,50
TACKLES,1.28,35
INTERCEPTIONS,2.03,71
BLOCKS,1.77,61
CLEARANCES,7.23,94
AERIAL_DUELS_WON,4.28,96
