Martínez,Pablo,Levante
MF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,14
NON_PEN_XG,0.06,45
TOTAL_SHOTS,1.44,83
ASSISTS,0.14,83
XA,0.19,95
NON_PEN_XG+XA,0.25,87
SHOT_CREATIONS,1.44,31
PASSES_ATTEMPTED,34.62,9
PASS_COMPLETION_PERCENTAGE,69.2,1
PROGRESSIVE_PASSES,3.17,32
PROGRESSIVE CARRIES,3.17,33
DRIBBLES_COMPLETED,1.01,67
TOUCHES_IN_AREA,1.59,74
PROGRESSIVE_PASSES_RECIEVED,4.47,93
PRESSURES,20.34,72
TACKLES,1.88,32
INTERCEPTIONS,2.02,79
BLOCKS,1.44,42
CLEARANCES,0.72,10
AERIAL_DUELS_WON,1.59,67
