Fernández,Aitor,Levante
GK,GK,
STAT,VALUE,PERCENTILE
POST_SHOT_XG-CONCEDED,-0.19,15
GOALS_CONCEDED,1.79,13
SAVE_PERCENTAGE,65.2,32
POST_SHOT_XG_PER_SHOT_ON_TARGET,0.30,54
PENALTY_SAVE_PERCENTAGE,0.0,25
CLEAN_SHEET_PERCENTAGE,10.7,5
TOUCHES,34.02,40
LAUNCH_PERCENTAGE,39.1,38
GOAL_KICKS,7.05,36
AVG_GOAL_KICK_DISTANCE,32.6,13
CROSSES_STOPPED_PERCENTAGE,6.5,31
DEFENSIVE_ACTIONS_OUTSIDE_AREA,0.82,73
AVG_DISTANCE_OF_DEFENSIVE_ACTIONS,14.3,44
