Yáñez,Rubén,Getafe
GK,GK,
STAT,VALUE,PERCENTILE
POST_SHOT_XG-CONCEDED,-0.04,48
GOALS_CONCEDED,1.20,68
SAVE_PERCENTAGE,63.3,18
POST_SHOT_XG_PER_SHOT_ON_TARGET,0.35,95
PENALTY_SAVE_PERCENTAGE,0.0,25
CLEAN_SHEET_PERCENTAGE,40.0,91
TOUCHES,28.60,7
LAUNCH_PERCENTAGE,70.2,95
GOAL_KICKS,6.80,30
AVG_GOAL_KICK_DISTANCE,61.1,92
CROSSES_STOPPED_PERCENTAGE,6.9,44
DEFENSIVE_ACTIONS_OUTSIDE_AREA,0.70,61
AVG_DISTANCE_OF_DEFENSIVE_ACTIONS,15.2,77
