"b'Maksimovic, Nemanja'",Getafe
CM,DM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.03,29
NON_PEN_XG,0.06,50
TOTAL_SHOTS,0.68,32
ASSISTS,0.03,23
XA,0.03,20
NON_PEN_XG+XA,0.10,28
SHOT_CREATIONS,1.54,36
PASSES_ATTEMPTED,25.57,2
PASS_COMPLETION_PERCENTAGE,78.2,17
PROGRESSIVE_PASSES,1.57,1
PROGRESSIVE CARRIES,2.19,14
DRIBBLES_COMPLETED,0.37,13
TOUCHES_IN_AREA,1.64,76
PROGRESSIVE_PASSES_RECIEVED,1.20,30
PRESSURES,20.77,74
TACKLES,1.88,32
INTERCEPTIONS,1.98,78
BLOCKS,2.24,93
CLEARANCES,2.40,91
AERIAL_DUELS_WON,1.72,73
