Ramírez,Sandro,Getafe
ST,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.28,32
NON_PEN_XG,0.17,4
TOTAL_SHOTS,2.76,71
ASSISTS,0.00,5
XA,0.04,5
NON_PEN_XG+XA,0.21,1
SHOT_CREATIONS,2.65,70
PASSES_ATTEMPTED,23.35,53
PASS_COMPLETION_PERCENTAGE,76.8,76
PROGRESSIVE_PASSES,0.96,15
PROGRESSIVE CARRIES,3.10,57
DRIBBLES_COMPLETED,1.52,80
TOUCHES_IN_AREA,3.95,11
PROGRESSIVE_PASSES_RECIEVED,7.44,47
PRESSURES,15.79,63
TACKLES,0.85,65
INTERCEPTIONS,0.79,95
BLOCKS,1.13,82
CLEARANCES,0.17,9
AERIAL_DUELS_WON,0.85,19
