Olivera,Mathías,Getafe
LB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.03,46
NON_PEN_XG,0.09,88
TOTAL_SHOTS,0.75,70
ASSISTS,0.00,8
XA,0.06,35
NON_PEN_XG+XA,0.15,69
SHOT_CREATIONS,1.75,56
PASSES_ATTEMPTED,42.53,11
PASS_COMPLETION_PERCENTAGE,72.2,15
PROGRESSIVE_PASSES,3.23,37
PROGRESSIVE CARRIES,4.23,42
DRIBBLES_COMPLETED,0.75,50
TOUCHES_IN_AREA,1.99,76
PROGRESSIVE_PASSES_RECIEVED,1.27,20
PRESSURES,17.96,92
TACKLES,2.66,81
INTERCEPTIONS,1.96,77
BLOCKS,2.02,63
CLEARANCES,3.62,94
AERIAL_DUELS_WON,2.84,98
