Dembélé,Ousmane,Barcelona
FW,AM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.25,59
NON_PEN_XG,0.34,89
TOTAL_SHOTS,3.48,95
ASSISTS,0.15,36
XA,0.23,78
NON_PEN_XG+XA,0.57,87
SHOT_CREATIONS,4.41,84
PASSES_ATTEMPTED,49.56,84
PASS_COMPLETION_PERCENTAGE,81.0,82
PROGRESSIVE_PASSES,3.92,70
PROGRESSIVE CARRIES,12.84,99
DRIBBLES_COMPLETED,3.33,95
TOUCHES_IN_AREA,8.38,97
PROGRESSIVE_PASSES_RECIEVED,10.15,95
PRESSURES,14.26,33
TACKLES,0.98,23
INTERCEPTIONS,0.78,36
BLOCKS,0.74,10
CLEARANCES,0.10,2
AERIAL_DUELS_WON,0.39,22
