"b'Pjanic, Miralem'",Barcelona
AM,CM,DM
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,14
NON_PEN_XG,0.09,72
TOTAL_SHOTS,1.63,90
ASSISTS,0.25,97
XA,0.24,99
NON_PEN_XG+XA,0.34,97
SHOT_CREATIONS,4.50,99
PASSES_ATTEMPTED,97.00,99
PASS_COMPLETION_PERCENTAGE,89.0,88
PROGRESSIVE_PASSES,7.13,97
PROGRESSIVE CARRIES,5.13,78
DRIBBLES_COMPLETED,1.38,88
TOUCHES_IN_AREA,0.88,37
PROGRESSIVE_PASSES_RECIEVED,2.63,74
PRESSURES,12.50,5
TACKLES,0.88,2
INTERCEPTIONS,1.63,52
BLOCKS,0.38,1
CLEARANCES,0.75,12
AERIAL_DUELS_WON,0.63,18
