Alba,Jordi,Barcelona
LB,DF,MF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.05,60
NON_PEN_XG,0.07,80
TOTAL_SHOTS,0.83,73
ASSISTS,0.18,86
XA,0.20,95
NON_PEN_XG+XA,0.27,93
SHOT_CREATIONS,2.53,86
PASSES_ATTEMPTED,88.43,99
PASS_COMPLETION_PERCENTAGE,84.1,87
PROGRESSIVE_PASSES,7.05,98
PROGRESSIVE CARRIES,4.50,48
DRIBBLES_COMPLETED,0.53,25
TOUCHES_IN_AREA,3.40,95
PROGRESSIVE_PASSES_RECIEVED,5.10,97
PRESSURES,11.20,27
TACKLES,1.48,16
INTERCEPTIONS,1.60,50
BLOCKS,1.73,39
CLEARANCES,1.40,10
AERIAL_DUELS_WON,0.30,2
