Umtiti,Samuel,Barcelona
CB,LB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,16
NON_PEN_XG,0.01,8
TOTAL_SHOTS,0.25,10
ASSISTS,0.00,28
XA,0.00,4
NON_PEN_XG+XA,0.01,1
SHOT_CREATIONS,0.74,75
PASSES_ATTEMPTED,79.93,98
PASS_COMPLETION_PERCENTAGE,94.8,99
PROGRESSIVE_PASSES,4.30,89
PROGRESSIVE CARRIES,4.91,91
DRIBBLES_COMPLETED,0.12,24
TOUCHES_IN_AREA,0.25,4
PROGRESSIVE_PASSES_RECIEVED,0.12,39
PRESSURES,8.59,47
TACKLES,1.11,19
INTERCEPTIONS,1.47,29
BLOCKS,1.47,30
CLEARANCES,3.68,12
AERIAL_DUELS_WON,3.07,69
