ter Stegen,Marc-André,Barcelona
GK,GK,
STAT,VALUE,PERCENTILE
POST_SHOT_XG-CONCEDED,-0.11,32
GOALS_CONCEDED,1.19,68
SAVE_PERCENTAGE,66.4,38
POST_SHOT_XG_PER_SHOT_ON_TARGET,0.30,54
PENALTY_SAVE_PERCENTAGE,0.0,25
CLEAN_SHEET_PERCENTAGE,31.9,72
TOUCHES,36.85,61
LAUNCH_PERCENTAGE,22.1,2
GOAL_KICKS,5.70,10
AVG_GOAL_KICK_DISTANCE,32.3,11
CROSSES_STOPPED_PERCENTAGE,10.2,90
DEFENSIVE_ACTIONS_OUTSIDE_AREA,0.55,36
AVG_DISTANCE_OF_DEFENSIVE_ACTIONS,15.1,72
