de Jong,Frenkie,Barcelona
DF,CM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.07,62
NON_PEN_XG,0.13,89
TOTAL_SHOTS,0.45,13
ASSISTS,0.12,74
XA,0.18,94
NON_PEN_XG+XA,0.31,94
SHOT_CREATIONS,2.51,79
PASSES_ATTEMPTED,73.07,92
PASS_COMPLETION_PERCENTAGE,91.9,97
PROGRESSIVE_PASSES,4.95,74
PROGRESSIVE CARRIES,8.06,96
DRIBBLES_COMPLETED,1.50,91
TOUCHES_IN_AREA,2.81,94
PROGRESSIVE_PASSES_RECIEVED,4.20,92
PRESSURES,10.69,2
TACKLES,1.27,5
INTERCEPTIONS,1.10,18
BLOCKS,0.82,2
CLEARANCES,0.84,17
AERIAL_DUELS_WON,1.17,49
