Agüero,Sergio,Barcelona
ST,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.55,85
NON_PEN_XG,0.36,54
TOTAL_SHOTS,2.91,75
ASSISTS,0.14,55
XA,0.14,60
NON_PEN_XG+XA,0.50,56
SHOT_CREATIONS,2.22,50
PASSES_ATTEMPTED,26.63,68
PASS_COMPLETION_PERCENTAGE,82.3,96
PROGRESSIVE_PASSES,1.80,67
PROGRESSIVE CARRIES,3.61,71
DRIBBLES_COMPLETED,1.66,87
TOUCHES_IN_AREA,7.49,93
PROGRESSIVE_PASSES_RECIEVED,7.77,56
PRESSURES,14.14,46
TACKLES,0.55,36
INTERCEPTIONS,0.55,74
BLOCKS,0.28,2
CLEARANCES,0.00,1
AERIAL_DUELS_WON,0.55,8
