Paez,Gavi,Barcelona
MF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,14
NON_PEN_XG,0.13,89
TOTAL_SHOTS,0.92,48
ASSISTS,0.14,81
XA,0.11,79
NON_PEN_XG+XA,0.24,86
SHOT_CREATIONS,1.70,45
PASSES_ATTEMPTED,48.74,46
PASS_COMPLETION_PERCENTAGE,88.6,86
PROGRESSIVE_PASSES,3.81,48
PROGRESSIVE CARRIES,6.92,91
DRIBBLES_COMPLETED,1.62,93
TOUCHES_IN_AREA,3.32,96
PROGRESSIVE_PASSES_RECIEVED,5.30,95
PRESSURES,23.10,88
TACKLES,2.26,51
INTERCEPTIONS,0.92,10
BLOCKS,2.12,88
CLEARANCES,0.57,6
AERIAL_DUELS_WON,1.13,48
