González,Nicolás,Barcelona
ST,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.09,72
NON_PEN_XG,0.11,81
TOTAL_SHOTS,1.50,85
ASSISTS,0.09,65
XA,0.18,94
NON_PEN_XG+XA,0.29,92
SHOT_CREATIONS,2.53,79
PASSES_ATTEMPTED,54.64,61
PASS_COMPLETION_PERCENTAGE,90.4,95
PROGRESSIVE_PASSES,3.93,52
PROGRESSIVE CARRIES,6.55,90
DRIBBLES_COMPLETED,2.34,99
TOUCHES_IN_AREA,2.43,88
PROGRESSIVE_PASSES_RECIEVED,4.68,93
PRESSURES,20.02,69
TACKLES,2.15,47
INTERCEPTIONS,0.65,2
BLOCKS,0.94,5
CLEARANCES,1.40,45
AERIAL_DUELS_WON,0.84,34
