Araújo,Ronald,Barcelona
RCB,CB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.12,90
NON_PEN_XG,0.08,90
TOTAL_SHOTS,0.78,85
ASSISTS,0.04,73
XA,0.01,46
NON_PEN_XG+XA,0.09,82
SHOT_CREATIONS,0.51,45
PASSES_ATTEMPTED,65.18,80
PASS_COMPLETION_PERCENTAGE,91.0,86
PROGRESSIVE_PASSES,1.94,21
PROGRESSIVE CARRIES,4.27,84
DRIBBLES_COMPLETED,0.43,83
TOUCHES_IN_AREA,1.09,78
PROGRESSIVE_PASSES_RECIEVED,0.12,38
PRESSURES,9.63,62
TACKLES,2.06,80
INTERCEPTIONS,1.32,19
BLOCKS,2.25,91
CLEARANCES,3.61,11
AERIAL_DUELS_WON,3.22,74
