Mingueza,Óscar,Barcelona
DF,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.07,76
NON_PEN_XG,0.04,61
TOTAL_SHOTS,0.51,42
ASSISTS,0.07,48
XA,0.07,37
NON_PEN_XG+XA,0.11,43
SHOT_CREATIONS,1.06,14
PASSES_ATTEMPTED,75.42,96
PASS_COMPLETION_PERCENTAGE,89.4,99
PROGRESSIVE_PASSES,3.02,27
PROGRESSIVE CARRIES,4.60,54
DRIBBLES_COMPLETED,0.31,8
TOUCHES_IN_AREA,1.00,33
PROGRESSIVE_PASSES_RECIEVED,1.13,16
PRESSURES,15.51,82
TACKLES,2.85,85
INTERCEPTIONS,1.41,33
BLOCKS,1.89,53
CLEARANCES,1.72,21
AERIAL_DUELS_WON,0.82,27
