Coutinho,Philippe,Barcelona
AM,LM,LW
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.12,20
NON_PEN_XG,0.36,91
TOTAL_SHOTS,4.21,99
ASSISTS,0.00,1
XA,0.07,3
NON_PEN_XG+XA,0.43,63
SHOT_CREATIONS,3.09,45
PASSES_ATTEMPTED,61.77,99
PASS_COMPLETION_PERCENTAGE,84.6,96
PROGRESSIVE_PASSES,4.46,79
PROGRESSIVE CARRIES,10.89,97
DRIBBLES_COMPLETED,2.48,87
TOUCHES_IN_AREA,5.45,80
PROGRESSIVE_PASSES_RECIEVED,10.15,95
PRESSURES,11.02,10
TACKLES,1.11,32
INTERCEPTIONS,0.87,48
BLOCKS,1.11,45
CLEARANCES,0.12,6
AERIAL_DUELS_WON,0.37,20
