"b'Nastasic, Matija'",Fiorentina
LCB,CB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,16
NON_PEN_XG,0.01,7
TOTAL_SHOTS,0.37,27
ASSISTS,0.00,28
XA,0.00,4
NON_PEN_XG+XA,0.01,1
SHOT_CREATIONS,0.24,7
PASSES_ATTEMPTED,45.61,26
PASS_COMPLETION_PERCENTAGE,92.2,92
PROGRESSIVE_PASSES,1.22,4
PROGRESSIVE CARRIES,1.34,17
DRIBBLES_COMPLETED,0.00,1
TOUCHES_IN_AREA,0.73,42
PROGRESSIVE_PASSES_RECIEVED,0.00,3
PRESSURES,6.95,21
TACKLES,0.98,13
INTERCEPTIONS,1.34,21
BLOCKS,2.44,97
CLEARANCES,6.46,87
AERIAL_DUELS_WON,1.83,16
