"b'Vlahovic, Dusan'",Fiorentina
ST,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.58,88
NON_PEN_XG,0.39,63
TOTAL_SHOTS,2.76,70
ASSISTS,0.12,45
XA,0.09,31
NON_PEN_XG+XA,0.48,52
SHOT_CREATIONS,1.97,35
PASSES_ATTEMPTED,18.56,17
PASS_COMPLETION_PERCENTAGE,68.0,20
PROGRESSIVE_PASSES,0.84,12
PROGRESSIVE CARRIES,1.89,24
DRIBBLES_COMPLETED,1.01,53
TOUCHES_IN_AREA,4.96,41
PROGRESSIVE_PASSES_RECIEVED,7.46,48
PRESSURES,11.06,19
TACKLES,0.24,5
INTERCEPTIONS,0.31,36
BLOCKS,0.72,46
CLEARANCES,0.62,46
AERIAL_DUELS_WON,3.12,78
