Bonaventura,Giacomo,Fiorentina
AM,CM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.16,89
NON_PEN_XG,0.12,82
TOTAL_SHOTS,1.79,93
ASSISTS,0.09,66
XA,0.09,67
NON_PEN_XG+XA,0.20,80
SHOT_CREATIONS,2.51,79
PASSES_ATTEMPTED,42.35,26
PASS_COMPLETION_PERCENTAGE,81.5,35
PROGRESSIVE_PASSES,2.82,19
PROGRESSIVE CARRIES,6.46,90
DRIBBLES_COMPLETED,1.19,78
TOUCHES_IN_AREA,2.10,85
PROGRESSIVE_PASSES_RECIEVED,3.95,91
PRESSURES,14.18,14
TACKLES,1.29,6
INTERCEPTIONS,1.38,31
BLOCKS,1.04,10
CLEARANCES,0.60,6
AERIAL_DUELS_WON,0.75,28
