"b'Milenkovic, Nikola'",Fiorentina
RCB,CB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.06,65
NON_PEN_XG,0.06,73
TOTAL_SHOTS,0.63,74
ASSISTS,0.00,28
XA,0.01,34
NON_PEN_XG+XA,0.07,59
SHOT_CREATIONS,0.46,38
PASSES_ATTEMPTED,51.04,46
PASS_COMPLETION_PERCENTAGE,87.9,61
PROGRESSIVE_PASSES,3.08,65
PROGRESSIVE CARRIES,3.23,66
DRIBBLES_COMPLETED,0.20,48
TOUCHES_IN_AREA,0.77,47
PROGRESSIVE_PASSES_RECIEVED,0.31,80
PRESSURES,9.20,57
TACKLES,1.57,58
INTERCEPTIONS,1.57,40
BLOCKS,1.40,23
CLEARANCES,4.11,25
AERIAL_DUELS_WON,3.23,75
