Pulgar,Erick,Fiorentina
CB,CM,DM
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.05,47
NON_PEN_XG,0.03,24
TOTAL_SHOTS,0.71,34
ASSISTS,0.19,90
XA,0.10,78
NON_PEN_XG+XA,0.14,51
SHOT_CREATIONS,1.80,49
PASSES_ATTEMPTED,48.28,42
PASS_COMPLETION_PERCENTAGE,81.9,37
PROGRESSIVE_PASSES,3.04,26
PROGRESSIVE CARRIES,2.33,17
DRIBBLES_COMPLETED,0.57,30
TOUCHES_IN_AREA,0.09,1
PROGRESSIVE_PASSES_RECIEVED,0.47,4
PRESSURES,13.86,12
TACKLES,1.95,35
INTERCEPTIONS,1.61,52
BLOCKS,1.90,78
CLEARANCES,2.09,84
AERIAL_DUELS_WON,1.42,60
