Amrabat,Sofyan,Fiorentina
CM,DM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,14
NON_PEN_XG,0.01,3
TOTAL_SHOTS,0.37,8
ASSISTS,0.00,11
XA,0.02,11
NON_PEN_XG+XA,0.03,3
SHOT_CREATIONS,1.12,13
PASSES_ATTEMPTED,47.76,41
PASS_COMPLETION_PERCENTAGE,88.3,84
PROGRESSIVE_PASSES,4.14,58
PROGRESSIVE CARRIES,4.04,53
DRIBBLES_COMPLETED,1.33,87
TOUCHES_IN_AREA,0.53,15
PROGRESSIVE_PASSES_RECIEVED,1.97,61
PRESSURES,20.88,76
TACKLES,2.39,57
INTERCEPTIONS,0.90,9
BLOCKS,2.02,84
CLEARANCES,0.74,12
AERIAL_DUELS_WON,0.53,13
