Castrovilli,Gaetano,Fiorentina
,,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.05,47
NON_PEN_XG,0.09,71
TOTAL_SHOTS,0.95,51
ASSISTS,0.14,82
XA,0.07,50
NON_PEN_XG+XA,0.15,59
SHOT_CREATIONS,1.90,54
PASSES_ATTEMPTED,27.52,3
PASS_COMPLETION_PERCENTAGE,76.5,10
PROGRESSIVE_PASSES,3.10,28
PROGRESSIVE CARRIES,5.00,76
DRIBBLES_COMPLETED,1.29,84
TOUCHES_IN_AREA,2.57,90
PROGRESSIVE_PASSES_RECIEVED,5.05,94
PRESSURES,18.00,47
TACKLES,1.67,21
INTERCEPTIONS,1.57,47
BLOCKS,1.24,22
CLEARANCES,0.90,19
AERIAL_DUELS_WON,0.52,12
