"b'Dragowski, Bartomiej'",Fiorentina
GK,GK,
STAT,VALUE,PERCENTILE
POST_SHOT_XG-CONCEDED,-0.03,50
GOALS_CONCEDED,1.51,41
SAVE_PERCENTAGE,62.6,14
POST_SHOT_XG_PER_SHOT_ON_TARGET,0.35,95
PENALTY_SAVE_PERCENTAGE,22.2,68
CLEAN_SHEET_PERCENTAGE,24.1,48
TOUCHES,35.68,53
LAUNCH_PERCENTAGE,49.6,71
GOAL_KICKS,7.40,49
AVG_GOAL_KICK_DISTANCE,51.9,77
CROSSES_STOPPED_PERCENTAGE,8.6,71
DEFENSIVE_ACTIONS_OUTSIDE_AREA,0.81,72
AVG_DISTANCE_OF_DEFENSIVE_ACTIONS,15.2,77
