Terracciano,Pietro,Fiorentina
GK,GK,
STAT,VALUE,PERCENTILE
POST_SHOT_XG-CONCEDED,-0.06,41
GOALS_CONCEDED,1.26,61
SAVE_PERCENTAGE,64.2,23
POST_SHOT_XG_PER_SHOT_ON_TARGET,0.29,39
PENALTY_SAVE_PERCENTAGE,50.0,91
CLEAN_SHEET_PERCENTAGE,35.7,85
TOUCHES,47.91,97
LAUNCH_PERCENTAGE,38.1,36
GOAL_KICKS,6.19,18
AVG_GOAL_KICK_DISTANCE,42.0,36
CROSSES_STOPPED_PERCENTAGE,7.1,47
DEFENSIVE_ACTIONS_OUTSIDE_AREA,0.95,81
AVG_DISTANCE_OF_DEFENSIVE_ACTIONS,16.1,87
