Torreira,Lucas,Fiorentina
DM,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,14
NON_PEN_XG,0.02,11
TOTAL_SHOTS,0.40,10
ASSISTS,0.00,11
XA,0.09,66
NON_PEN_XG+XA,0.11,34
SHOT_CREATIONS,1.85,53
PASSES_ATTEMPTED,55.28,63
PASS_COMPLETION_PERCENTAGE,88.2,83
PROGRESSIVE_PASSES,5.29,80
PROGRESSIVE CARRIES,2.98,29
DRIBBLES_COMPLETED,0.26,3
TOUCHES_IN_AREA,0.66,22
PROGRESSIVE_PASSES_RECIEVED,1.06,23
PRESSURES,15.41,23
TACKLES,2.45,62
INTERCEPTIONS,1.72,61
BLOCKS,0.53,1
CLEARANCES,1.26,37
AERIAL_DUELS_WON,1.19,51
