Martínez Quarta,Lucas,Fiorentina
DF,CB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.08,77
NON_PEN_XG,0.08,88
TOTAL_SHOTS,0.79,87
ASSISTS,0.00,28
XA,0.03,76
NON_PEN_XG+XA,0.11,90
SHOT_CREATIONS,0.83,82
PASSES_ATTEMPTED,57.51,62
PASS_COMPLETION_PERCENTAGE,87.5,58
PROGRESSIVE_PASSES,3.63,79
PROGRESSIVE CARRIES,4.01,80
DRIBBLES_COMPLETED,0.60,94
TOUCHES_IN_AREA,1.28,87
PROGRESSIVE_PASSES_RECIEVED,0.26,74
PRESSURES,13.87,95
TACKLES,2.64,97
INTERCEPTIONS,2.15,77
BLOCKS,1.59,43
CLEARANCES,3.40,8
AERIAL_DUELS_WON,2.34,42
