Biraghi,Cristiano,Fiorentina
LB,LM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.03,42
NON_PEN_XG,0.06,71
TOTAL_SHOTS,0.82,72
ASSISTS,0.06,37
XA,0.16,87
NON_PEN_XG+XA,0.21,86
SHOT_CREATIONS,2.62,88
PASSES_ATTEMPTED,61.76,82
PASS_COMPLETION_PERCENTAGE,76.9,45
PROGRESSIVE_PASSES,4.28,73
PROGRESSIVE CARRIES,4.44,47
DRIBBLES_COMPLETED,0.45,19
TOUCHES_IN_AREA,1.58,61
PROGRESSIVE_PASSES_RECIEVED,2.36,64
PRESSURES,8.30,4
TACKLES,1.35,11
INTERCEPTIONS,0.73,1
BLOCKS,1.46,18
CLEARANCES,1.66,19
AERIAL_DUELS_WON,0.14,1
