Hergault,Jérôme,Lorient
RB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.11,85
NON_PEN_XG,0.02,21
TOTAL_SHOTS,0.21,11
ASSISTS,0.00,8
XA,0.02,2
NON_PEN_XG+XA,0.03,3
SHOT_CREATIONS,0.80,4
PASSES_ATTEMPTED,50.76,41
PASS_COMPLETION_PERCENTAGE,77.4,50
PROGRESSIVE_PASSES,4.07,67
PROGRESSIVE CARRIES,4.23,42
DRIBBLES_COMPLETED,0.59,35
TOUCHES_IN_AREA,0.59,12
PROGRESSIVE_PASSES_RECIEVED,1.55,30
PRESSURES,12.21,46
TACKLES,2.30,66
INTERCEPTIONS,1.50,41
BLOCKS,1.50,20
CLEARANCES,2.62,62
AERIAL_DUELS_WON,1.50,71
