Morel,Jérémy,Lorient
CB,LB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,16
NON_PEN_XG,0.01,2
TOTAL_SHOTS,0.11,2
ASSISTS,0.00,28
XA,0.01,42
NON_PEN_XG+XA,0.02,4
SHOT_CREATIONS,0.44,36
PASSES_ATTEMPTED,45.93,28
PASS_COMPLETION_PERCENTAGE,86.8,49
PROGRESSIVE_PASSES,2.20,32
PROGRESSIVE CARRIES,1.59,24
DRIBBLES_COMPLETED,0.16,36
TOUCHES_IN_AREA,0.11,2
PROGRESSIVE_PASSES_RECIEVED,0.22,69
PRESSURES,7.75,35
TACKLES,1.65,62
INTERCEPTIONS,1.76,54
BLOCKS,1.48,32
CLEARANCES,4.23,27
AERIAL_DUELS_WON,1.32,4
