Laporte,Julien,Lorient
CB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.06,66
NON_PEN_XG,0.02,19
TOTAL_SHOTS,0.36,26
ASSISTS,0.00,28
XA,0.01,54
NON_PEN_XG+XA,0.04,23
SHOT_CREATIONS,0.48,41
PASSES_ATTEMPTED,47.50,34
PASS_COMPLETION_PERCENTAGE,89.5,76
PROGRESSIVE_PASSES,2.08,28
PROGRESSIVE CARRIES,2.32,42
DRIBBLES_COMPLETED,0.15,31
TOUCHES_IN_AREA,0.56,23
PROGRESSIVE_PASSES_RECIEVED,0.00,3
PRESSURES,10.34,70
TACKLES,1.96,77
INTERCEPTIONS,2.17,78
BLOCKS,1.63,50
CLEARANCES,7.46,96
AERIAL_DUELS_WON,2.91,64
