Dreyer,Matthieu,Lorient
GK,GK,
STAT,VALUE,PERCENTILE
POST_SHOT_XG-CONCEDED,-0.23,10
GOALS_CONCEDED,1.67,21
SAVE_PERCENTAGE,62.7,14
POST_SHOT_XG_PER_SHOT_ON_TARGET,0.32,76
PENALTY_SAVE_PERCENTAGE,0.0,25
CLEAN_SHEET_PERCENTAGE,13.3,10
TOUCHES,26.67,2
LAUNCH_PERCENTAGE,48.6,68
GOAL_KICKS,7.20,42
AVG_GOAL_KICK_DISTANCE,48.6,64
CROSSES_STOPPED_PERCENTAGE,6.3,27
DEFENSIVE_ACTIONS_OUTSIDE_AREA,0.40,16
AVG_DISTANCE_OF_DEFENSIVE_ACTIONS,12.8,10
