Moffi,Terem,Lorient
ST,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.39,55
NON_PEN_XG,0.45,79
TOTAL_SHOTS,2.33,43
ASSISTS,0.15,59
XA,0.16,68
NON_PEN_XG+XA,0.61,78
SHOT_CREATIONS,2.27,53
PASSES_ATTEMPTED,18.58,18
PASS_COMPLETION_PERCENTAGE,73.2,54
PROGRESSIVE_PASSES,1.28,38
PROGRESSIVE CARRIES,2.89,52
DRIBBLES_COMPLETED,1.22,68
TOUCHES_IN_AREA,4.50,27
PROGRESSIVE_PASSES_RECIEVED,7.31,45
PRESSURES,13.96,43
TACKLES,0.39,16
INTERCEPTIONS,0.42,57
BLOCKS,0.42,9
CLEARANCES,0.54,38
AERIAL_DUELS_WON,1.67,49
