Lauriente,Armand,Lorient
FW,MF,WF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.25,59
NON_PEN_XG,0.23,63
TOTAL_SHOTS,3.16,94
ASSISTS,0.13,28
XA,0.15,38
NON_PEN_XG+XA,0.38,49
SHOT_CREATIONS,3.29,55
PASSES_ATTEMPTED,28.07,9
PASS_COMPLETION_PERCENTAGE,77.0,55
PROGRESSIVE_PASSES,1.94,11
PROGRESSIVE CARRIES,6.20,55
DRIBBLES_COMPLETED,1.94,64
TOUCHES_IN_AREA,3.92,51
PROGRESSIVE_PASSES_RECIEVED,6.70,56
PRESSURES,14.80,39
TACKLES,1.31,45
INTERCEPTIONS,0.80,38
BLOCKS,0.72,9
CLEARANCES,0.17,10
AERIAL_DUELS_WON,0.42,25
