Mendes,Houboulang,Lorient
DF,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,16
NON_PEN_XG,0.06,71
TOTAL_SHOTS,0.44,43
ASSISTS,0.00,28
XA,0.03,77
NON_PEN_XG+XA,0.08,78
SHOT_CREATIONS,0.67,66
PASSES_ATTEMPTED,41.30,15
PASS_COMPLETION_PERCENTAGE,83.5,26
PROGRESSIVE_PASSES,1.91,20
PROGRESSIVE CARRIES,3.24,67
DRIBBLES_COMPLETED,0.53,90
TOUCHES_IN_AREA,0.84,56
PROGRESSIVE_PASSES_RECIEVED,1.29,98
PRESSURES,12.64,91
TACKLES,2.17,84
INTERCEPTIONS,1.95,68
BLOCKS,2.08,83
CLEARANCES,4.39,32
AERIAL_DUELS_WON,1.29,4
