Monconduit,Thomas,Lorient
CB,CM,DM
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.16,90
NON_PEN_XG,0.06,51
TOTAL_SHOTS,1.73,92
ASSISTS,0.05,42
XA,0.10,77
NON_PEN_XG+XA,0.17,67
SHOT_CREATIONS,2.32,72
PASSES_ATTEMPTED,52.35,55
PASS_COMPLETION_PERCENTAGE,78.5,19
PROGRESSIVE_PASSES,5.40,82
PROGRESSIVE CARRIES,4.11,55
DRIBBLES_COMPLETED,1.13,75
TOUCHES_IN_AREA,0.54,16
PROGRESSIVE_PASSES_RECIEVED,1.94,60
PRESSURES,19.02,57
TACKLES,2.16,47
INTERCEPTIONS,1.35,30
BLOCKS,1.13,14
CLEARANCES,2.00,80
AERIAL_DUELS_WON,1.57,67
