Abergel,Laurent,Lorient
CM,LB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.08,68
NON_PEN_XG,0.07,59
TOTAL_SHOTS,0.94,51
ASSISTS,0.06,43
XA,0.08,60
NON_PEN_XG+XA,0.15,59
SHOT_CREATIONS,1.97,59
PASSES_ATTEMPTED,49.03,46
PASS_COMPLETION_PERCENTAGE,82.5,42
PROGRESSIVE_PASSES,3.80,48
PROGRESSIVE CARRIES,3.32,39
DRIBBLES_COMPLETED,1.22,81
TOUCHES_IN_AREA,0.53,14
PROGRESSIVE_PASSES_RECIEVED,1.94,58
PRESSURES,27.51,99
TACKLES,3.77,96
INTERCEPTIONS,1.83,69
BLOCKS,1.66,60
CLEARANCES,0.39,1
AERIAL_DUELS_WON,0.22,1
