Bessa,Daniel,Hellas Verona
MF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.10,17
NON_PEN_XG,0.10,9
TOTAL_SHOTS,1.22,8
ASSISTS,0.20,58
XA,0.17,52
NON_PEN_XG+XA,0.27,20
SHOT_CREATIONS,3.25,52
PASSES_ATTEMPTED,50.33,86
PASS_COMPLETION_PERCENTAGE,83.7,95
PROGRESSIVE_PASSES,3.96,71
PROGRESSIVE CARRIES,8.02,83
DRIBBLES_COMPLETED,0.81,10
TOUCHES_IN_AREA,1.72,3
PROGRESSIVE_PASSES_RECIEVED,6.39,51
PRESSURES,18.97,74
TACKLES,2.03,88
INTERCEPTIONS,0.71,30
BLOCKS,0.81,13
CLEARANCES,1.01,87
AERIAL_DUELS_WON,0.71,55
