"b'Kalinic, Nikola'",Hellas Verona
ST,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.41,60
NON_PEN_XG,0.40,67
TOTAL_SHOTS,1.88,17
ASSISTS,0.00,5
XA,0.05,6
NON_PEN_XG+XA,0.45,44
SHOT_CREATIONS,1.71,19
PASSES_ATTEMPTED,20.30,26
PASS_COMPLETION_PERCENTAGE,73.5,55
PROGRESSIVE_PASSES,0.90,12
PROGRESSIVE CARRIES,1.88,22
DRIBBLES_COMPLETED,0.41,7
TOUCHES_IN_AREA,5.30,58
PROGRESSIVE_PASSES_RECIEVED,9.62,90
PRESSURES,10.27,13
TACKLES,0.33,8
INTERCEPTIONS,0.08,1
BLOCKS,0.33,3
CLEARANCES,0.49,35
AERIAL_DUELS_WON,1.30,31
